NAME,ADDRESS,longitude,latitude
AC apartments,"WJF6+8WC Capitol Homesite, Loreta Street, Lucena City, 4301 Quezon",13.9238973,121.6124106
Gray Building Apartment building,"WJH6+662, Lucena City, 4301 Quezon",13.92857955,121.6104316
3J's Apartment,"WJH5+HJW Purok Talabis, Lucena City, 4301 Quezon",13.92910181,121.6090818
Tindalo Apartment building,"WJH5+PGJ, Tindalo, Lucena City, 4301 Quezon",13.92966223,121.608721
Home Apartment building,"Rodriguez Subdivision, Yakal St, Lucena City, 4301 Quezon",13.93151717,121.6086135
Flying house Apartment building,"49 San Miguel, Lucena City, 4301 Quezon",13.93162765,121.6068736
Reynaldo Laborte Residential Apartment building,"47 Don Feliciano St, Lucena City, 4301 Quezon",13.93163651,121.6064581
Don Feliciano corner Habito St. Ibabang Iyam Lucena City Apartment building,"49 Don Feliciano St, Lucena City, 4301 Quezon",13.93166865,121.6062265
Garceron’s Residence ,"WJH8+2X8, Lucena City, 4301 Quezon",13.92835219,121.6177312
VILLMARE Residences,"L8 B6 Sampaguita Street Teofila Village Bel-Air Subdivision, Lucena City, 4301 Quezon",13.92863023,121.6190034
Abuel Residence,"Teofila Village, Sampaguita St, Lucena City, 4301 Quezon",13.92913007,121.6186171
0114 LUCBAN ST. MARKETVIEW LUCENA CITY,"WJJ8+WCJ, Lucban, Lucena City, 4301 Quezon",13.93268827,121.6160946
Green House Apartment building,"WJP6+F2Q, Sisa LUCENA CITY (Capital LUCENA CITY (Capital, 4301 Quezon",13.93735333,121.6101294
PRI ANDRE APARTELLE 3,"WJJ3+XR9, Lucena City, 4301 Quezon",13.93311959,121.6044642
Escueta Orange Apartmet,"XHG5+J49, Escueta Subdivision, City of Tayabas, 4327 Quezon",13.97752747,121.5574336
A&L Residence Apartment building,"XH74+PC, City of Tayabas, 4322 Quezon",13.96520032,121.5561461
Staff House Apartment building,"XH75+3P6, City of Tayabas, 4322 Quezon",13.9631728,121.5598066
Mansion de Ella Apartment building,"XH54+QH8, City of Tayabas, 4322 Quezon",13.96009088,121.5568454
CK House Apartment building,"Block 37 Lot 48, Peso Street, Leveriza Dr, Barangay Isabang, City of Tayabas, 4322 Quezon",13.96017219,121.5615466
